schema=synthetic-market-config-v1
scenario=step9-demo-adversarial
class=adversarial_stress
venue=synthetic
instrument=DEMO-USD
run=step9-demo-run
seed=20260806
start_ns=0
grid_step_ns=100000
initial_reference_ticks=10000
fee_schedule=synthetic-fees-v1
maker_atoms_per_lot=-1
taker_atoms_per_lot=3
regime|normal|designed_synthetic|120|420000|210000|160000|90000|500000|80000|750000|300000|450000|2|5|12|1|5|2|90000|850000
regime|thin-high-vol|adversarial_stress|80|420000|400000|160000|220000|500000|80000|750000|300000|450000|2|5|4|1|5|2|90000|850000
shock|liquidity-vacuum|adversarial_stress|140|30|250000|2500000|3000000|2000000|2500000|150000|-25
trade|24|64|6400000|normal|24|9996|1|sell|-1|3
trade|25|65|6500000|normal|25|9997|2|buy|-2|6
trade|26|66|6600000|normal|26|9996|1|buy|-1|3
trade|27|67|6700000|normal|27|9996|2|buy|-2|6
trade|28|67|6700000|normal|28|9997|3|buy|-3|9
trade|29|68|6800000|normal|29|9996|2|buy|-2|6
trade|30|74|7400000|normal|30|9996|2|buy|-2|6
trade|31|74|7400000|normal|31|9996|3|buy|-3|9
trade|32|77|7700000|normal|32|9995|1|sell|-1|3
trade|33|80|8000000|normal|33|9995|1|sell|-1|3
trade|34|80|8000000|normal|34|9994|2|sell|-2|6
trade|35|82|8200000|normal|35|9994|3|sell|-3|9
trade|36|86|8600000|normal|36|9994|1|sell|-1|3
trade|37|89|8900000|normal|37|9994|1|sell|-1|3
trade|38|95|9500000|normal|38|9995|2|buy|-2|6
trade|39|95|9500000|normal|39|9995|2|buy|-2|6
trade|40|96|9600000|normal|40|9994|5|sell|-5|15
trade|41|105|10500000|normal|41|9994|2|buy|-2|6
trade|42|105|10500000|normal|42|9994|1|buy|-1|3
trade|43|106|10600000|normal|43|9994|1|buy|-1|3
trade|44|112|11200000|normal|44|9994|1|buy|-1|3
trade|45|112|11200000|normal|45|9994|4|buy|-4|12
trade|46|113|11300000|normal|46|9994|1|buy|-1|3
trade|47|113|11300000|normal|47|9995|1|buy|-1|3
trade|48|115|11500000|normal|48|9993|5|sell|-5|15
trade|49|119|11900000|normal|49|9989|1|sell|-1|3
trade|50|119|11900000|normal|50|9989|1|sell|-1|3
trade|51|119|11900000|normal|51|9988|1|sell|-1|3
trade|52|120|12000000|thin-high-vol|52|9988|4|sell|-4|12
trade|53|121|12100000|thin-high-vol|53|9988|3|sell|-3|9
trade|54|121|12100000|thin-high-vol|54|9988|2|sell|-2|6
trade|55|124|12400000|thin-high-vol|55|9994|1|buy|-1|3
trade|56|124|12400000|thin-high-vol|56|9994|4|buy|-4|12
trade|57|126|12600000|thin-high-vol|57|9988|1|sell|-1|3
trade|58|127|12700000|thin-high-vol|58|9988|1|sell|-1|3
trade|59|127|12700000|thin-high-vol|59|9988|1|sell|-1|3
trade|60|128|12800000|thin-high-vol|60|9994|1|buy|-1|3
trade|61|128|12800000|thin-high-vol|61|9994|3|buy|-3|9
trade|62|128|12800000|thin-high-vol|62|9995|1|buy|-1|3
trade|63|129|12900000|thin-high-vol|63|9988|1|sell|-1|3
trade|64|130|13000000|thin-high-vol|64|9988|2|sell|-2|6
trade|65|131|13100000|thin-high-vol|65|9995|1|buy|-1|3
trade|66|133|13300000|thin-high-vol|66|9988|1|sell|-1|3
trade|67|133|13300000|thin-high-vol|67|9987|1|sell|-1|3
trade|68|135|13500000|thin-high-vol|68|9993|1|buy|-1|3
trade|69|137|13700000|thin-high-vol|69|9993|1|buy|-1|3
trade|70|137|13700000|thin-high-vol|70|9994|4|buy|-4|12
trade|71|138|13800000|thin-high-vol|71|9992|3|buy|-3|9
trade|72|140|14000000|thin-high-vol|72|9992|1|buy|-1|3
trade|73|141|14100000|thin-high-vol|73|9987|3|sell|-3|9
trade|74|141|14100000|thin-high-vol|74|9987|2|sell|-2|6
trade|75|142|14200000|thin-high-vol|75|9987|1|sell|-1|3
trade|76|143|14300000|thin-high-vol|76|9992|1|buy|-1|3
trade|77|143|14300000|thin-high-vol|77|9995|3|buy|-3|9
trade|78|143|14300000|thin-high-vol|78|9995|1|buy|-1|3
trade|79|144|14400000|thin-high-vol|79|9996|1|buy|-1|3
trade|80|144|14400000|thin-high-vol|80|9996|4|buy|-4|12
trade|81|145|14500000|thin-high-vol|81|9996|1|buy|-1|3
trade|82|145|14500000|thin-high-vol|82|9996|1|buy|-1|3
trade|83|146|14600000|thin-high-vol|83|9987|1|sell|-1|3
trade|84|147|14700000|thin-high-vol|84|9987|1|sell|-1|3
trade|85|147|14700000|thin-high-vol|85|9987|2|sell|-2|6
trade|86|147|14700000|thin-high-vol|86|9986|2|sell|-2|6
trade|87|148|14800000|thin-high-vol|87|9986|3|sell|-3|9
trade|88|148|14800000|thin-high-vol|88|9986|1|sell|-1|3
trade|89|149|14900000|thin-high-vol|89|9996|1|buy|-1|3
trade|90|150|15000000|thin-high-vol|90|9986|2|sell|-2|6
trade|91|150|15000000|thin-high-vol|91|9986|2|sell|-2|6
trade|92|151|15100000|thin-high-vol|92|9996|1|buy|-1|3
trade|93|152|15200000|thin-high-vol|93|9986|2|sell|-2|6
trade|94|153|15300000|thin-high-vol|94|9997|2|buy|-2|6
trade|95|153|15300000|thin-high-vol|95|9997|2|buy|-2|6
trade|96|153|15300000|thin-high-vol|96|9997|1|buy|-1|3
trade|97|154|15400000|thin-high-vol|97|9997|2|buy|-2|6
trade|98|154|15400000|thin-high-vol|98|9999|3|buy|-3|9
trade|99|155|15500000|thin-high-vol|99|9999|1|buy|-1|3
trade|100|155|15500000|thin-high-vol|100|9999|2|buy|-2|6
trade|101|156|15600000|thin-high-vol|101|9999|3|buy|-3|9
trade|102|156|15600000|thin-high-vol|102|10002|1|buy|-1|3
trade|103|157|15700000|thin-high-vol|103|9986|3|sell|-3|9
trade|104|157|15700000|thin-high-vol|104|9985|2|sell|-2|6
trade|105|158|15800000|thin-high-vol|105|10002|2|buy|-2|6
trade|106|159|15900000|thin-high-vol|106|10004|3|buy|-3|9
trade|107|160|16000000|thin-high-vol|107|9985|2|sell|-2|6
trade|108|160|16000000|thin-high-vol|108|9985|1|sell|-1|3
trade|109|160|16000000|thin-high-vol|109|9984|1|sell|-1|3
trade|110|163|16300000|thin-high-vol|110|9984|1|sell|-1|3
trade|111|163|16300000|thin-high-vol|111|9983|2|sell|-2|6
trade|112|170|17000000|thin-high-vol|112|9992|1|buy|-1|3
trade|113|171|17100000|thin-high-vol|113|9992|2|buy|-2|6
trade|114|172|17200000|thin-high-vol|114|9990|3|buy|-3|9
trade|115|172|17200000|thin-high-vol|115|9992|1|buy|-1|3
trade|116|173|17300000|thin-high-vol|116|9978|3|sell|-3|9
trade|117|176|17600000|thin-high-vol|117|9984|1|sell|-1|3
trade|118|178|17800000|thin-high-vol|118|9992|1|buy|-1|3
trade|119|179|17900000|thin-high-vol|119|9992|1|buy|-1|3
trade|120|182|18200000|thin-high-vol|120|9993|3|buy|-3|9
trade|121|186|18600000|thin-high-vol|121|9985|2|sell|-2|6
trade|122|187|18700000|thin-high-vol|122|9984|2|sell|-2|6
trade|123|187|18700000|thin-high-vol|123|9983|2|sell|-2|6
trade|124|190|19000000|thin-high-vol|124|9984|3|sell|-3|9
trade|125|192|19200000|thin-high-vol|125|9990|3|buy|-3|9
trade|126|194|19400000|thin-high-vol|126|9990|2|buy|-2|6
trade|127|194|19400000|thin-high-vol|127|9991|2|buy|-2|6
trade|128|196|19600000|thin-high-vol|128|9991|1|buy|-1|3
trade|129|197|19700000|thin-high-vol|129|9991|1|buy|-1|3
trade|130|197|19700000|thin-high-vol|130|9993|2|buy|-2|6
trade|131|198|19800000|thin-high-vol|131|9985|1|sell|-1|3
trade|132|199|19900000|thin-high-vol|132|9992|1|buy|-1|3
step|0|0|normal|10000|9998|10002|60|57|10|270000|0|80000|0
step|1|100000|normal|10000|9998|10002|60|57|10|229500|0|60000|0
step|2|200000|normal|10000|9998|10002|60|61|11|195075|80000|45000|0
step|3|300000|normal|10000|9998|10002|58|64|12|-14187|140000|113750|0
step|4|400000|normal|10000|9998|10002|58|64|12|-12058|105000|85312|0
step|5|500000|normal|10000|9998|10002|58|60|11|-10249|78750|63984|80000
step|6|600000|normal|10000|9998|10002|44|60|11|-278711|139062|127988|140000
step|7|700000|normal|10000|9998|10002|44|61|12|-236904|184296|95991|105000
step|8|800000|normal|10000|9998|10002|47|61|13|-201368|218222|71993|78750
step|9|900000|normal|10000|9998|10002|35|61|12|-171162|163666|53994|139062
step|10|1000000|normal|10000|9998|10002|39|61|13|-145487|202749|40495|104296
step|11|1100000|normal|10000|9998|10002|39|63|14|-123663|232061|30371|78222
step|12|1200000|normal|10000|9998|10002|41|63|15|-105113|254045|22778|58666
step|13|1300000|normal|10000|9998|10002|41|65|15|-89346|270533|17083|123999
step|14|1400000|normal|10000|9998|10002|37|65|14|-165944|202899|92812|172999
step|15|1500000|normal|10000|9998|10002|35|60|13|308948|152174|149609|209749
step|16|1600000|normal|10000|9998|10002|39|60|14|262605|194130|112206|157311
step|17|1700000|normal|9999|9998|10002|39|64|15|223214|225597|84154|117983
step|18|1800000|normal|9999|9998|10002|39|65|16|459731|249197|143115|88487
step|19|1900000|normal|9999|9998|10002|39|67|17|390771|266897|107336|66365
step|20|2000000|normal|9999|9998|10002|35|67|16|332155|200172|80502|129773
step|21|2100000|normal|9999|9998|10001|35|58|17|282331|230129|60376|97329
step|22|2200000|normal|9999|9998|10001|35|59|18|419981|252596|125282|72996
step|23|2300000|normal|9999|9998|10001|35|59|18|356983|189447|93961|54747
step|24|2400000|normal|9999|9998|10001|40|59|19|303435|222085|70470|41060
step|25|2500000|normal|9999|9998|10001|42|59|20|257919|246563|52852|30795
step|26|2600000|normal|9999|9998|10001|42|62|21|219231|264922|39639|23096
step|27|2700000|normal|9999|9998|10001|45|62|22|186346|278691|29729|17322
step|28|2800000|normal|9998|9998|10000|45|45|22|158394|289018|22296|92991
step|29|2900000|normal|9998|9998|10000|45|50|23|134634|296763|16722|69743
step|30|3000000|normal|9998|9998|10000|41|52|24|-245562|300000|92541|52307
step|31|3100000|normal|9996|9998|10000|41|52|24|-208727|225000|69405|39230
step|32|3200000|normal|9995|9998|9999|41|40|25|-177417|248750|52053|29422
step|33|3300000|normal|9995|9998|9999|41|42|26|-150804|266562|39039|22066
step|34|3400000|normal|9995|9998|9999|41|42|26|-128183|199921|29279|16549
step|35|3500000|normal|9995|9998|9999|41|42|26|-108955|149940|21959|12411
step|36|3600000|normal|9995|9998|9999|41|37|26|357389|192455|96469|9308
step|37|3700000|normal|9993|9998|9999|41|37|27|303780|224341|72351|6981
step|38|3800000|normal|9993|9998|9999|41|37|27|258213|168255|54263|5235
step|39|3900000|normal|9993|9998|9999|41|37|27|219481|126191|40697|3926
step|40|4000000|normal|9991|9998|9999|41|37|27|186558|94643|30522|2944
step|41|4100000|normal|9991|9998|9999|41|37|26|158574|70982|22891|82208
step|42|4200000|normal|9991|9998|9999|41|37|26|134787|133236|17168|141656
step|43|4300000|normal|9991|9998|9999|41|40|26|114568|179927|12876|186242
step|44|4400000|normal|9991|9998|9999|41|41|27|97382|214945|9657|139681
step|45|4500000|normal|9990|9998|9999|41|44|28|82774|241208|7242|104760
step|46|4600000|normal|9990|9998|9999|41|48|29|70357|260906|5431|78570
step|47|4700000|normal|9988|9998|9999|41|48|30|59803|275679|4073|58927
step|48|4800000|normal|9988|9998|9999|41|48|30|50832|206759|3054|44195
step|49|4900000|normal|9988|9998|9999|41|48|30|43207|155069|2290|33146
step|50|5000000|normal|9988|9998|9999|41|48|30|36725|116301|1717|24859
step|51|5100000|normal|9988|9998|9999|39|48|29|-148784|87225|81287|18644
step|52|5200000|normal|9988|9998|9999|39|51|30|-36466|145418|140965|13983
step|53|5300000|normal|9988|9998|9999|37|51|31|-210996|189063|185723|10487
step|54|5400000|normal|9988|9998|9999|37|51|30|654|221797|219292|7865
step|55|5500000|normal|9989|9996|9999|35|54|30|-269445|246347|244469|5898
step|56|5600000|normal|9989|9996|9997|30|42|31|-679028|264760|263351|4423
step|57|5700000|normal|9989|9996|9997|30|42|32|-577173|278570|197513|3317
step|58|5800000|normal|9989|9996|9997|30|46|33|-490597|288927|148134|2487
step|59|5900000|normal|9989|9996|9997|25|46|33|-867007|216695|191100|1865
step|60|6000000|normal|9989|9996|9997|25|46|34|-736955|242521|143325|1398
step|61|6100000|normal|9989|9996|9997|21|46|33|-986411|261890|187493|1048
step|62|6200000|normal|9989|9996|9997|21|46|33|-838449|196417|140619|786
step|63|6300000|normal|9989|9996|9997|21|41|32|-262681|147312|185464|589
step|64|6400000|normal|9989|9995|9997|25|44|32|-313278|190484|219098|441
step|65|6500000|normal|9989|9995|9997|28|42|32|-86286|222863|244323|330
step|66|6600000|normal|9989|9995|9996|28|34|33|16657|247147|263242|247
step|67|6700000|normal|9989|9995|9999|28|54|32|464158|265360|277431|185
step|68|6800000|normal|9989|9995|9996|28|37|32|574534|279020|288073|80138
step|69|6900000|normal|9989|9995|9996|31|49|32|488353|289265|216054|140103
step|70|7000000|normal|9989|9995|9996|31|53|33|415100|296948|162040|105077
step|71|7100000|normal|9989|9995|9996|31|53|34|352835|300000|121530|78807
step|72|7200000|normal|9989|9995|9996|31|53|35|299909|300000|91147|59105
step|73|7300000|normal|9989|9995|9996|30|53|34|254922|225000|68360|124328
step|74|7400000|normal|9989|9995|9996|30|53|34|666683|248750|131270|93246
step|75|7500000|normal|9989|9995|9996|32|53|35|566680|266562|98452|69934
step|76|7600000|normal|9989|9995|9996|32|53|35|481678|199921|73839|52450
step|77|7700000|normal|9991|9995|9996|31|58|36|319426|229940|135379|39337
step|78|7800000|normal|9991|9995|9996|31|63|37|271512|252455|101534|29502
step|79|7900000|normal|9991|9995|9996|31|50|38|230785|269341|76150|22126
step|80|8000000|normal|9991|9994|9996|33|50|37|-73833|282005|137112|96594
step|81|8100000|normal|9991|9994|9996|36|50|37|-62758|291503|102834|152445
step|82|8200000|normal|9991|9994|9996|33|50|38|-323344|298627|157125|114333
step|83|8300000|normal|9991|9994|9996|33|50|38|-274842|223970|117843|85749
step|84|8400000|normal|9991|9994|9995|33|46|39|-233615|247977|88382|64311
step|85|8500000|normal|9991|9994|9995|33|50|40|-198572|265982|66286|48233
step|86|8600000|normal|9991|9994|9995|32|52|41|-258786|279486|129714|36174
step|87|8700000|normal|9991|9994|9995|35|52|42|-219968|289614|97285|27130
step|88|8800000|normal|9991|9994|9995|36|52|43|-186972|297210|72963|20347
step|89|8900000|normal|9991|9994|9995|37|52|44|-248926|300000|134722|15260
step|90|9000000|normal|9991|9994|9995|37|53|45|-211587|300000|101041|11445
step|91|9100000|normal|9991|9994|9995|37|57|45|-179848|300000|75780|88583
step|92|9200000|normal|9991|9994|9995|37|58|45|-152870|300000|56835|146437
step|93|9300000|normal|9991|9994|9995|37|58|46|-129939|300000|42626|109827
step|94|9400000|normal|9991|9994|9995|37|53|46|-110448|300000|31969|162370
step|95|9500000|normal|9991|9994|9995|37|52|46|266120|300000|103976|121777
step|96|9600000|normal|9991|9993|9995|43|53|46|-223798|300000|157982|91332
step|97|9700000|normal|9991|9993|9994|43|45|47|-190228|300000|118486|68499
step|98|9800000|normal|9991|9993|9994|47|45|48|-161693|300000|88864|51374
step|99|9900000|normal|9991|9993|9994|47|45|48|-137439|225000|66648|38530
step|100|10000000|normal|9991|9993|9994|47|45|48|-116823|168750|49986|28897
step|101|10100000|normal|9991|9993|9994|47|48|49|-99299|206562|37489|21672
step|102|10200000|normal|9991|9993|9994|52|48|50|-84404|234921|28116|16254
step|103|10300000|normal|9989|9993|9994|52|48|50|-71743|176190|21087|12190
step|104|10400000|normal|9989|9993|9994|52|48|51|-60981|212142|15815|9142
step|105|10500000|normal|9989|9993|9994|52|49|50|218167|239106|91861|86856
step|106|10600000|normal|9990|9993|9994|54|48|51|275441|259329|148895|65142
step|107|10700000|normal|9990|9993|9994|54|48|51|234124|194496|111671|48856
step|108|10800000|normal|9990|9993|9994|54|48|51|199005|145872|83753|36642
step|109|10900000|normal|9990|9993|9994|52|48|50|169154|109404|62814|107481
step|110|11000000|normal|9990|9993|9994|52|48|50|143780|82053|47110|80610
step|111|11100000|normal|9990|9993|9994|52|48|50|122213|61539|35332|60457
step|112|11200000|normal|9990|9993|9995|52|51|49|553881|126154|106499|45342
step|113|11300000|normal|9990|9993|9995|52|50|48|650798|174615|159874|114006
step|114|11400000|normal|9990|9993|9994|52|46|49|553178|210961|119905|85504
step|115|11500000|normal|9990|9989|9994|48|51|48|20201|238220|169928|144128
step|116|11600000|normal|9990|9989|9994|51|51|49|17170|258665|127446|108096
step|117|11700000|normal|9990|9989|9994|53|51|50|14594|273998|95584|81072
step|118|11800000|normal|9990|9989|9994|53|53|51|12404|285498|71688|60804
step|119|11900000|normal|9990|9988|9994|54|51|48|-259457|214123|133766|125603
step|120|12000000|thin-high-vol|9990|9988|9994|50|51|47|-580538|0|80000|0
step|121|12100000|thin-high-vol|9991|9988|9994|45|51|46|-943457|0|140000|0
step|122|12200000|thin-high-vol|9991|9988|9994|45|51|46|-801938|0|105000|0
step|123|12300000|thin-high-vol|9991|9988|9994|45|51|46|-681647|0|78750|0
step|124|12400000|thin-high-vol|9989|9988|9994|47|46|46|-129399|80000|139062|0
step|125|12500000|thin-high-vol|9989|9988|9994|47|46|46|-109989|60000|104296|0
step|126|12600000|thin-high-vol|9989|9988|9994|46|45|46|-183490|125000|158222|80000
step|127|12700000|thin-high-vol|9989|9988|9994|41|45|44|-335966|93750|198666|140000
step|128|12800000|thin-high-vol|9989|9988|9995|41|45|41|164429|70312|228999|105000
step|129|12900000|thin-high-vol|9989|9988|9995|40|45|41|49764|52734|251749|78750
step|130|13000000|thin-high-vol|9989|9988|9995|38|45|41|-137701|39550|268811|59062
step|131|13100000|thin-high-vol|9989|9988|9995|38|44|41|-27045|29662|281608|44296
step|132|13200000|thin-high-vol|9989|9988|9995|38|44|41|-22988|22246|211206|33222
step|133|13300000|thin-high-vol|9989|9987|9993|43|41|40|-199539|96684|238404|24916
step|134|13400000|thin-high-vol|9989|9987|9993|43|41|40|-169608|72513|178803|18687
step|135|13500000|thin-high-vol|9989|9987|9993|43|40|40|-54166|134384|214102|94015
step|136|13600000|thin-high-vol|9989|9987|9993|43|32|41|-46041|180788|160576|70511
step|137|13700000|thin-high-vol|9989|9987|9995|44|44|40|410866|215591|200432|52883
step|138|13800000|thin-high-vol|9989|9987|9992|44|41|41|619236|241693|230324|39662
step|139|13900000|thin-high-vol|9989|9987|9992|44|36|40|526350|181269|172743|109746
step|140|14000000|thin-high-vol|9966|9987|9992|44|33|39|537397|135951|209557|162309
step|141|14100000|thin-high-vol|9965|9987|9992|39|33|37|6787|101963|237167|121731
step|142|14200000|thin-high-vol|9966|9987|9992|35|33|36|-84232|76472|257875|171298
step|143|14300000|thin-high-vol|9966|9987|9996|35|36|33|378403|57354|273406|128473
step|144|14400000|thin-high-vol|9967|9987|9996|35|31|31|771642|43015|285054|176354
step|145|14500000|thin-high-vol|9969|9987|9996|35|29|30|835895|32261|293790|132265
step|146|14600000|thin-high-vol|9971|9987|9996|34|29|30|620510|24195|300000|99198
step|147|14700000|thin-high-vol|9973|9986|9996|31|36|27|77433|18146|300000|154398
step|148|14800000|thin-high-vol|9973|9986|9996|27|36|25|-294182|13609|300000|115798
step|149|14900000|thin-high-vol|9975|9986|9996|27|35|25|-160054|10206|300000|86848
step|150|15000000|thin-high-vol|9977|9986|9996|23|35|23|-496045|7654|300000|65136
step|151|15100000|thin-high-vol|9977|9986|9997|23|49|22|-331638|5740|300000|48852
step|152|15200000|thin-high-vol|9978|9986|9997|21|49|22|-461892|4305|300000|36639
step|153|15300000|thin-high-vol|9976|9986|9997|21|41|19|57392|3228|300000|107479
step|154|15400000|thin-high-vol|9974|9986|9999|19|48|17|498783|2421|300000|160609
step|155|15500000|thin-high-vol|9973|9986|9999|19|33|14|693965|1815|300000|200456
step|156|15600000|thin-high-vol|9972|9986|10002|19|17|11|949870|1361|300000|230342
step|157|15700000|thin-high-vol|9972|9985|10002|14|14|8|357389|1020|300000|252756
step|158|15800000|thin-high-vol|9974|9985|10004|14|12|7|483780|765|300000|189567
step|159|15900000|thin-high-vol|9975|9985|10004|9|9|6|681213|573|300000|222175
step|160|16000000|thin-high-vol|9977|9984||5|0|3|219031|429|300000|246631
step|161|16100000|thin-high-vol|9978|9984||9|0|4|186176|80321|300000|184973
step|162|16200000|thin-high-vol|9979|9984||7|0|3|158249|60240|300000|218729
step|163|16300000|thin-high-vol|9979|||0|0|0|-135489|45180|300000|244046
step|164|16400000|thin-high-vol|9979|||0|0|0|-115165|33885|300000|183034
step|165|16500000|thin-high-vol|9981|||0|0|0|-97890|105413|300000|217275
step|166|16600000|thin-high-vol|9983|||0|0|0|-83206|79059|300000|162956
step|167|16700000|thin-high-vol|9985|||0|0|0|-70725|139294|300000|202217
step|168|16800000|thin-high-vol|9986|9978||3|0|1|-60116|184470|300000|151662
step|169|16900000|thin-high-vol|9986|9979||7|0|2|-51098|218352|300000|113746
step|170|17000000|thin-high-vol|9987|9978||3|0|1|46567|243764|300000|165309
step|171|17100000|thin-high-vol|9987|9978|9992|3|1|2|219581|262823|300000|123981
step|172|17200000|thin-high-vol|9988|9978||3|0|1|546643|277117|300000|92985
step|173|17300000|thin-high-vol|9988||9993|0|1|1|194646|287837|300000|69738
step|174|17400000|thin-high-vol|9988|9984||1|0|1|165449|295877|225000|132303
step|175|17500000|thin-high-vol|9988|9984|9992|1|2|2|140631|300000|168750|99227
step|176|17600000|thin-high-vol|9988||9992|0|2|1|29536|300000|206562|154420
step|177|17700000|thin-high-vol|9988||9992|0|2|1|25105|300000|234921|195815
step|178|17800000|thin-high-vol|9989||9992|0|4|2|111339|300000|256190|146861
step|179|17900000|thin-high-vol|9987|9985|9993|2|3|2|184638|300000|272142|110145
step|180|18000000|thin-high-vol|9987|9985|9993|7|3|3|156942|300000|204106|82608
step|181|18100000|thin-high-vol|9987|9985|9993|9|3|4|133400|300000|153079|61956
step|182|18200000|thin-high-vol|9987|9985||14|0|4|383390|300000|194809|46467
step|183|18300000|thin-high-vol|9987|9985||17|0|5|325881|300000|146106|34850
step|184|18400000|thin-high-vol|9987|9985||19|0|6|276998|300000|109579|26137
step|185|18500000|thin-high-vol|9987|9985||20|0|7|235448|300000|162184|19602
step|186|18600000|thin-high-vol|9987|9984||18|0|6|20130|225000|201638|14701
step|187|18700000|thin-high-vol|9987|9983||16|0|5|-342890|248750|231228|91025
step|188|18800000|thin-high-vol|9987|9984||20|0|6|-291456|266562|173421|68268
step|189|18900000|thin-high-vol|9985|9984|9990|20|5|7|-247737|279921|130065|51201
step|190|19000000|thin-high-vol|9986|9984|9990|14|9|7|-480576|289940|177548|118400
step|191|19100000|thin-high-vol|9987|9984|9990|19|9|8|-408489|297455|133161|88800
step|192|19200000|thin-high-vol|9987|9985|9990|21|6|8|-77215|300000|179870|146600
step|193|19300000|thin-high-vol|9985|9985|9990|21|6|8|-65632|300000|134902|189950
step|194|19400000|thin-high-vol|9985|9985|9991|21|2|7|304213|300000|181176|222462
step|195|19500000|thin-high-vol|9987|9985|9991|21|2|7|258581|300000|135882|246846
step|196|19600000|thin-high-vol|9987|9985|9991|25|1|8|309793|300000|181911|185134
step|197|19700000|thin-high-vol|9987|9985||25|0|7|533324|300000|216433|138850
step|198|19800000|thin-high-vol|9987|9985|9992|19|1|7|363325|300000|242324|184137
step|199|19900000|thin-high-vol|9987|9985||22|0|7|398826|300000|261743|138102
summary|200|136|99|54|46|1|132|0|256|-256|768|9987|9985|
